day,publish_time,platform,id,pillar,status,video_file,start_parameter,url,caption,published_url,views,likes,comments,shares,saves,hold_3s,completion_rate,profile_clicks,bot_starts,paid,notes
1,09:10,TikTok,day01_night_pov-tiktok,night,ready,assets/social-videos/week-01/shared/day01_night_pov.mp4,src_tt__cmp_viral_week_01__med_short__cnt_d01_night_pov,https://t.me/asknitai_bot?start=src_tt__cmp_viral_week_01__med_short__cnt_d01_night_pov,"Смотри, как один текст превращается в нормальный следующий шаг. Напиши Нити: «я не могу уснуть». Ссылка на бота в профиле.",,,,,,,,,,,,
1,09:10,Instagram Reels,day01_night_pov-reels,night,ready,assets/social-videos/week-01/shared/day01_night_pov.mp4,src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_pov,https://t.me/asknitai_bot?start=src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_pov,"Смотри, как один текст превращается в нормальный следующий шаг. Напиши Нити: «я не могу уснуть». Попробуй Нить в Telegram.",,,,,,,,,,,,
1,09:10,YouTube Shorts,day01_night_pov-shorts,night,ready,assets/social-videos/week-01/shared/day01_night_pov.mp4,src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_pov,https://t.me/asknitai_bot?start=src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_pov,"Смотри, как один текст превращается в нормальный следующий шаг. Напиши Нити: «я не могу уснуть». Открой Нить по ссылке в описании.",,,,,,,,,,,,
1,10:40,TikTok,day01_night_dialog-tiktok,night,ready,assets/social-videos/week-01/shared/day01_night_dialog.mp4,src_tt__cmp_viral_week_01__med_short__cnt_d01_night_dlg,https://t.me/asknitai_bot?start=src_tt__cmp_viral_week_01__med_short__cnt_d01_night_dlg,"Не идеальный промпт, а живой кусок мысли. Так и должно быть. Напиши Нити: «я не могу уснуть». Ссылка на бота в профиле.",,,,,,,,,,,,
1,10:40,Instagram Reels,day01_night_dialog-reels,night,ready,assets/social-videos/week-01/shared/day01_night_dialog.mp4,src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_dlg,https://t.me/asknitai_bot?start=src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_dlg,"Не идеальный промпт, а живой кусок мысли. Так и должно быть. Напиши Нити: «я не могу уснуть». Попробуй Нить в Telegram.",,,,,,,,,,,,
1,10:40,YouTube Shorts,day01_night_dialog-shorts,night,ready,assets/social-videos/week-01/shared/day01_night_dialog.mp4,src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_dlg,https://t.me/asknitai_bot?start=src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_dlg,"Не идеальный промпт, а живой кусок мысли. Так и должно быть. Напиши Нити: «я не могу уснуть». Открой Нить по ссылке в описании.",,,,,,,,,,,,
1,12:10,TikTok,day01_night_challenge-tiktok,night,ready,assets/social-videos/week-01/shared/day01_night_challenge.mp4,src_tt__cmp_viral_week_01__med_short__cnt_d01_night_ch,https://t.me/asknitai_bot?start=src_tt__cmp_viral_week_01__med_short__cnt_d01_night_ch,Попробуй написать Нити одну фразу и не объяснять всю жизнь заново. Напиши Нити: «я не могу уснуть». Ссылка на бота в профиле.,,,,,,,,,,,,
1,12:10,Instagram Reels,day01_night_challenge-reels,night,ready,assets/social-videos/week-01/shared/day01_night_challenge.mp4,src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_ch,https://t.me/asknitai_bot?start=src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_ch,Попробуй написать Нити одну фразу и не объяснять всю жизнь заново. Напиши Нити: «я не могу уснуть». Попробуй Нить в Telegram.,,,,,,,,,,,,
1,12:10,YouTube Shorts,day01_night_challenge-shorts,night,ready,assets/social-videos/week-01/shared/day01_night_challenge.mp4,src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_ch,https://t.me/asknitai_bot?start=src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_ch,Попробуй написать Нити одну фразу и не объяснять всю жизнь заново. Напиши Нити: «я не могу уснуть». Открой Нить по ссылке в описании.,,,,,,,,,,,,
1,13:40,TikTok,day01_night_comment-tiktok,night,ready,assets/social-videos/week-01/shared/day01_night_comment.mp4,src_tt__cmp_viral_week_01__med_short__cnt_d01_night_cm,https://t.me/asknitai_bot?start=src_tt__cmp_viral_week_01__med_short__cnt_d01_night_cm,"Да, бот должен помнить контекст, иначе это не диалог. Напиши Нити: «я не могу уснуть». Ссылка на бота в профиле.",,,,,,,,,,,,
1,13:40,Instagram Reels,day01_night_comment-reels,night,ready,assets/social-videos/week-01/shared/day01_night_comment.mp4,src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_cm,https://t.me/asknitai_bot?start=src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_cm,"Да, бот должен помнить контекст, иначе это не диалог. Напиши Нити: «я не могу уснуть». Попробуй Нить в Telegram.",,,,,,,,,,,,
1,13:40,YouTube Shorts,day01_night_comment-shorts,night,ready,assets/social-videos/week-01/shared/day01_night_comment.mp4,src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_cm,https://t.me/asknitai_bot?start=src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_cm,"Да, бот должен помнить контекст, иначе это не диалог. Напиши Нити: «я не могу уснуть». Открой Нить по ссылке в описании.",,,,,,,,,,,,
1,15:10,TikTok,day01_night_night-tiktok,night,ready,assets/social-videos/week-01/shared/day01_night_night.mp4,src_tt__cmp_viral_week_01__med_short__cnt_d01_night_night,https://t.me/asknitai_bot?start=src_tt__cmp_viral_week_01__med_short__cnt_d01_night_night,"Если снова листаешь телефон ночью, начни с одной честной фразы. Напиши Нити: «я не могу уснуть». Ссылка на бота в профиле.",,,,,,,,,,,,
1,15:10,Instagram Reels,day01_night_night-reels,night,ready,assets/social-videos/week-01/shared/day01_night_night.mp4,src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_night,https://t.me/asknitai_bot?start=src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_night,"Если снова листаешь телефон ночью, начни с одной честной фразы. Напиши Нити: «я не могу уснуть». Попробуй Нить в Telegram.",,,,,,,,,,,,
1,15:10,YouTube Shorts,day01_night_night-shorts,night,ready,assets/social-videos/week-01/shared/day01_night_night.mp4,src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_night,https://t.me/asknitai_bot?start=src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_night,"Если снова листаешь телефон ночью, начни с одной честной фразы. Напиши Нити: «я не могу уснуть». Открой Нить по ссылке в описании.",,,,,,,,,,,,
1,16:40,TikTok,day01_night_before-send-tiktok,night,ready,assets/social-videos/week-01/shared/day01_night_before-send.mp4,src_tt__cmp_viral_week_01__med_short__cnt_d01_night_bs,https://t.me/asknitai_bot?start=src_tt__cmp_viral_week_01__med_short__cnt_d01_night_bs,"Сначала напиши это Нити, потом решишь, отправлять ли человеку. Напиши Нити: «я не могу уснуть». Ссылка на бота в профиле.",,,,,,,,,,,,
1,16:40,Instagram Reels,day01_night_before-send-reels,night,ready,assets/social-videos/week-01/shared/day01_night_before-send.mp4,src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_bs,https://t.me/asknitai_bot?start=src_ig__cmp_viral_week_01__med_reels__cnt_d01_night_bs,"Сначала напиши это Нити, потом решишь, отправлять ли человеку. Напиши Нити: «я не могу уснуть». Попробуй Нить в Telegram.",,,,,,,,,,,,
1,16:40,YouTube Shorts,day01_night_before-send-shorts,night,ready,assets/social-videos/week-01/shared/day01_night_before-send.mp4,src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_bs,https://t.me/asknitai_bot?start=src_yt__cmp_viral_week_01__med_shorts__cnt_d01_night_bs,"Сначала напиши это Нити, потом решишь, отправлять ли человеку. Напиши Нити: «я не могу уснуть». Открой Нить по ссылке в описании.",,,,,,,,,,,,
