day,publish_time,platform,id,pillar,status,video_file,cover_file,start_parameter,url,caption,published_url,views,profile_clicks,bot_starts,paid,notes
1,11:30,TikTok,day01_memory-tiktok,memory,ready,assets/social-videos/week-01/tiktok/day01_memory-tiktok.mp4,assets/social-videos/week-01/tiktok/day01_memory-tiktok-cover.jpg,src_tt__cmp_sw1__med_short__cnt_d01_memory,https://t.me/asknitai_bot?start=src_tt__cmp_sw1__med_short__cnt_d01_memory,"Проверь простой тест: помнит ли AI, с чего вы начали разговор? Ссылка на бота в профиле.",,,,,,
1,11:30,Instagram Reels,day01_memory-reels,memory,ready,assets/social-videos/week-01/reels/day01_memory-reels.mp4,assets/social-videos/week-01/reels/day01_memory-reels-cover.jpg,src_ig__cmp_sw1__med_reels__cnt_d01_memory,https://t.me/asknitai_bot?start=src_ig__cmp_sw1__med_reels__cnt_d01_memory,"Проверь простой тест: помнит ли AI, с чего вы начали разговор? Попробуй Нить в Telegram.",,,,,,
1,11:30,YouTube Shorts,day01_memory-shorts,memory,ready,assets/social-videos/week-01/shorts/day01_memory-shorts.mp4,assets/social-videos/week-01/shorts/day01_memory-shorts-cover.jpg,src_yt__cmp_sw1__med_shorts__cnt_d01_memory,https://t.me/asknitai_bot?start=src_yt__cmp_sw1__med_shorts__cnt_d01_memory,"Проверь простой тест: помнит ли AI, с чего вы начали разговор? Открой Нить по ссылке в описании.",,,,,,
2,12:10,TikTok,day02_long_task-tiktok,long_task,ready,assets/social-videos/week-01/tiktok/day02_long_task-tiktok.mp4,assets/social-videos/week-01/tiktok/day02_long_task-tiktok-cover.jpg,src_tt__cmp_sw1__med_short__cnt_d02_long_task,https://t.me/asknitai_bot?start=src_tt__cmp_sw1__med_short__cnt_d02_long_task,Для короткого вопроса хватит free. Для глубокого разбора нужен нормальный контекст. Ссылка на бота в профиле.,,,,,,
2,12:10,Instagram Reels,day02_long_task-reels,long_task,ready,assets/social-videos/week-01/reels/day02_long_task-reels.mp4,assets/social-videos/week-01/reels/day02_long_task-reels-cover.jpg,src_ig__cmp_sw1__med_reels__cnt_d02_long_task,https://t.me/asknitai_bot?start=src_ig__cmp_sw1__med_reels__cnt_d02_long_task,Для короткого вопроса хватит free. Для глубокого разбора нужен нормальный контекст. Попробуй Нить в Telegram.,,,,,,
2,12:10,YouTube Shorts,day02_long_task-shorts,long_task,ready,assets/social-videos/week-01/shorts/day02_long_task-shorts.mp4,assets/social-videos/week-01/shorts/day02_long_task-shorts-cover.jpg,src_yt__cmp_sw1__med_shorts__cnt_d02_long_task,https://t.me/asknitai_bot?start=src_yt__cmp_sw1__med_shorts__cnt_d02_long_task,Для короткого вопроса хватит free. Для глубокого разбора нужен нормальный контекст. Открой Нить по ссылке в описании.,,,,,,
3,18:40,TikTok,day03_continue-tiktok,dialogue,ready,assets/social-videos/week-01/tiktok/day03_continue-tiktok.mp4,assets/social-videos/week-01/tiktok/day03_continue-tiktok-cover.jpg,src_tt__cmp_sw1__med_short__cnt_d03_continue,https://t.me/asknitai_bot?start=src_tt__cmp_sw1__med_short__cnt_d03_continue,Меньше повторов. Больше движения вперед. Ссылка на бота в профиле.,,,,,,
3,18:40,Instagram Reels,day03_continue-reels,dialogue,ready,assets/social-videos/week-01/reels/day03_continue-reels.mp4,assets/social-videos/week-01/reels/day03_continue-reels-cover.jpg,src_ig__cmp_sw1__med_reels__cnt_d03_continue,https://t.me/asknitai_bot?start=src_ig__cmp_sw1__med_reels__cnt_d03_continue,Меньше повторов. Больше движения вперед. Попробуй Нить в Telegram.,,,,,,
3,18:40,YouTube Shorts,day03_continue-shorts,dialogue,ready,assets/social-videos/week-01/shorts/day03_continue-shorts.mp4,assets/social-videos/week-01/shorts/day03_continue-shorts-cover.jpg,src_yt__cmp_sw1__med_shorts__cnt_d03_continue,https://t.me/asknitai_bot?start=src_yt__cmp_sw1__med_shorts__cnt_d03_continue,Меньше повторов. Больше движения вперед. Открой Нить по ссылке в описании.,,,,,,
4,11:50,TikTok,day04_day_access-tiktok,premium,ready,assets/social-videos/week-01/tiktok/day04_day_access-tiktok.mp4,assets/social-videos/week-01/tiktok/day04_day_access-tiktok-cover.jpg,src_tt__cmp_sw1__med_short__cnt_d04_d_access,https://t.me/asknitai_bot?start=src_tt__cmp_sw1__med_short__cnt_d04_d_access,"Дневной доступ нужен не для галочки, а чтобы пройти большую задачу без обрыва. Ссылка на бота в профиле.",,,,,,
4,11:50,Instagram Reels,day04_day_access-reels,premium,ready,assets/social-videos/week-01/reels/day04_day_access-reels.mp4,assets/social-videos/week-01/reels/day04_day_access-reels-cover.jpg,src_ig__cmp_sw1__med_reels__cnt_d04_d_access,https://t.me/asknitai_bot?start=src_ig__cmp_sw1__med_reels__cnt_d04_d_access,"Дневной доступ нужен не для галочки, а чтобы пройти большую задачу без обрыва. Попробуй Нить в Telegram.",,,,,,
4,11:50,YouTube Shorts,day04_day_access-shorts,premium,ready,assets/social-videos/week-01/shorts/day04_day_access-shorts.mp4,assets/social-videos/week-01/shorts/day04_day_access-shorts-cover.jpg,src_yt__cmp_sw1__med_shorts__cnt_d04_d_access,https://t.me/asknitai_bot?start=src_yt__cmp_sw1__med_shorts__cnt_d04_d_access,"Дневной доступ нужен не для галочки, а чтобы пройти большую задачу без обрыва. Открой Нить по ссылке в описании.",,,,,,
5,17:20,TikTok,day05_pro_context-tiktok,pro,ready,assets/social-videos/week-01/tiktok/day05_pro_context-tiktok.mp4,assets/social-videos/week-01/tiktok/day05_pro_context-tiktok-cover.jpg,src_tt__cmp_sw1__med_short__cnt_d05_pro_context,https://t.me/asknitai_bot?start=src_tt__cmp_sw1__med_short__cnt_d05_pro_context,"Когда тема тянется неделю, память начинает экономить силы. Ссылка на бота в профиле.",,,,,,
5,17:20,Instagram Reels,day05_pro_context-reels,pro,ready,assets/social-videos/week-01/reels/day05_pro_context-reels.mp4,assets/social-videos/week-01/reels/day05_pro_context-reels-cover.jpg,src_ig__cmp_sw1__med_reels__cnt_d05_pro_context,https://t.me/asknitai_bot?start=src_ig__cmp_sw1__med_reels__cnt_d05_pro_context,"Когда тема тянется неделю, память начинает экономить силы. Попробуй Нить в Telegram.",,,,,,
5,17:20,YouTube Shorts,day05_pro_context-shorts,pro,ready,assets/social-videos/week-01/shorts/day05_pro_context-shorts.mp4,assets/social-videos/week-01/shorts/day05_pro_context-shorts-cover.jpg,src_yt__cmp_sw1__med_shorts__cnt_d05_pro_context,https://t.me/asknitai_bot?start=src_yt__cmp_sw1__med_shorts__cnt_d05_pro_context,"Когда тема тянется неделю, память начинает экономить силы. Открой Нить по ссылке в описании.",,,,,,
6,13:30,TikTok,day06_raw_thought-tiktok,thinking,ready,assets/social-videos/week-01/tiktok/day06_raw_thought-tiktok.mp4,assets/social-videos/week-01/tiktok/day06_raw_thought-tiktok-cover.jpg,src_tt__cmp_sw1__med_short__cnt_d06_raw_thought,https://t.me/asknitai_bot?start=src_tt__cmp_sw1__med_short__cnt_d06_raw_thought,"Нить помогает превратить сырую фразу в план, текст или решение. Ссылка на бота в профиле.",,,,,,
6,13:30,Instagram Reels,day06_raw_thought-reels,thinking,ready,assets/social-videos/week-01/reels/day06_raw_thought-reels.mp4,assets/social-videos/week-01/reels/day06_raw_thought-reels-cover.jpg,src_ig__cmp_sw1__med_reels__cnt_d06_raw_thought,https://t.me/asknitai_bot?start=src_ig__cmp_sw1__med_reels__cnt_d06_raw_thought,"Нить помогает превратить сырую фразу в план, текст или решение. Попробуй Нить в Telegram.",,,,,,
6,13:30,YouTube Shorts,day06_raw_thought-shorts,thinking,ready,assets/social-videos/week-01/shorts/day06_raw_thought-shorts.mp4,assets/social-videos/week-01/shorts/day06_raw_thought-shorts-cover.jpg,src_yt__cmp_sw1__med_shorts__cnt_d06_raw_thought,https://t.me/asknitai_bot?start=src_yt__cmp_sw1__med_shorts__cnt_d06_raw_thought,"Нить помогает превратить сырую фразу в план, текст или решение. Открой Нить по ссылке в описании.",,,,,,
7,19:10,TikTok,day07_week_thread-tiktok,weekly,ready,assets/social-videos/week-01/tiktok/day07_week_thread-tiktok.mp4,assets/social-videos/week-01/tiktok/day07_week_thread-tiktok-cover.jpg,src_tt__cmp_sw1__med_short__cnt_d07_week_thread,https://t.me/asknitai_bot?start=src_tt__cmp_sw1__med_short__cnt_d07_week_thread,"Подпишись на канал и открой Нить, если хочешь вести мысли в одном месте. Ссылка на бота в профиле.",,,,,,
7,19:10,Instagram Reels,day07_week_thread-reels,weekly,ready,assets/social-videos/week-01/reels/day07_week_thread-reels.mp4,assets/social-videos/week-01/reels/day07_week_thread-reels-cover.jpg,src_ig__cmp_sw1__med_reels__cnt_d07_week_thread,https://t.me/asknitai_bot?start=src_ig__cmp_sw1__med_reels__cnt_d07_week_thread,"Подпишись на канал и открой Нить, если хочешь вести мысли в одном месте. Попробуй Нить в Telegram.",,,,,,
7,19:10,YouTube Shorts,day07_week_thread-shorts,weekly,ready,assets/social-videos/week-01/shorts/day07_week_thread-shorts.mp4,assets/social-videos/week-01/shorts/day07_week_thread-shorts-cover.jpg,src_yt__cmp_sw1__med_shorts__cnt_d07_week_thread,https://t.me/asknitai_bot?start=src_yt__cmp_sw1__med_shorts__cnt_d07_week_thread,"Подпишись на канал и открой Нить, если хочешь вести мысли в одном месте. Открой Нить по ссылке в описании.",,,,,,
